nombre,precio_por_noche,review,rating,ciudad,Precio_casa,numero_noches
Wonderful apartment in Retiro park with garage,60,147,94,madrid,152465,90
p37 ATICO CENTRO + WIFI 6 personas,120,46,88,valencia,196697,45
COMFORTABLE APARTMENT NEAR BEACH,270,5,100,barcelona,197152,100
Cosy room in Moncloa,29,135,97,madrid,152465,90
Large and cozy flat with swimming pool and hot tub,90,46,98,madrid,152465,90
"Double, clean and comfortable room!!",16,3,60,barcelona,197152,100
Centric Eixample apartment Arc de Triomf,259,1,100,barcelona,197152,100
Quiet apartment next to Plaza Mayor,121,25,94,madrid,152465,90
"HABITACIÓN DOBLE,  EDIFICIO 1900, Forum, Sag.Fami",35,40,90,barcelona,197152,100
Artist hoMe inspiration Terrace 1A,165,2,80,barcelona,197152,100
Céntrico y tranquilo apartamento,48,61,96,madrid,152465,90
Cozy attic room in La Latina,38,1,100,madrid,152465,90
Spacious flat close to the beach,100,2,80,barcelona,197152,100
APARTAMENTO EN ZONA ALTA,50,4,90,barcelona,197152,100
Cosy room - Mestalla zone,20,25,97,valencia,196697,45
Nice room near sacred family-2,100,2,70,barcelona,197152,100
Stylish apartment in the center of Madrid,175,1,100,madrid,152465,90
Precious House next to the  Malvarrosa Beach,220,3,93,valencia,196697,45
Penthouse with private terrace & balcony in Plaza Mayor square. Plaza Mayor IV,103,13,97,madrid,152465,90
Bonito apartamento Avenida de America (Madrid),70,9,89,madrid,152465,90
Luminosa Habitación Doble Céntrica,34,82,91,valencia,196697,45
Private Suite in XVI Century Flat,95,4,80,barcelona,197152,100
APARTMENT IN CENTER OF BARCELONA CITY,110,8,83,barcelona,197152,100
Room for 3 people in Center:Old Town and Beachs2,85,15,76,barcelona,197152,100
APARTAMENTO  JUNTO SAGRADA FAMILIA,95,87,85,barcelona,197152,100
солнечная квартира PLAYA- Пуэрто Ва,69,7,74,valencia,196697,45
QUIET & NICE APPARTMENT IN BCN,100,5,72,barcelona,197152,100
LUMINOSO Y ACOGEDOR TORRES DE QUART,71,41,97,valencia,196697,45
CozyRoom!few steps away casa Battló,37,5,100,barcelona,197152,100
Room Private Barcelona Student and tourist,21,12,85,barcelona,197152,100
Modern & Cozy Apartment in Gràcia,75,309,95,barcelona,197152,100
luxury apartment near to the center,60,37,91,valencia,196697,45
Stylish 4 bed Apt in the center,87,52,91,barcelona,197152,100
"Very spacious & central studio, Rambla, Wi-Fi, AC",159,3,100,barcelona,197152,100
Habitacion amplia para la champions  baratos,45,1,60,madrid,152465,90
-New Elegant Vintage apartment in the Plaza Mayor,323,5,100,madrid,152465,90
OPEN MADRID - HABITACION MIXTA 6 PERSONAS,21,25,94,madrid,152465,90
Beautiful room in downtown BCN w/private bathroom,99,248,94,barcelona,197152,100
Double Room Boqueria Market,37,163,95,barcelona,197152,100
Loft en zona alta,50,1,80,barcelona,197152,100
Lindo y cómodo apartamento alquilamos,25,9,80,madrid,152465,90
BEAUTIFUL CENTRAL TERRACE APARTMENT,100,175,93,barcelona,197152,100
